accession,taxid,superkingdom,phylum,class,order,family,genus,species
OP035246.1,342444,NA,Chordata,Actinopteri,Tetraodontiformes,Ostraciidae,Ostracion,Ostracion meleagris
OP035243.1,242981,NA,Chordata,Actinopteri,Lophiiformes,Antennariidae,Histrio,Histrio histrio
OP035240.1,123247,NA,Chordata,Actinopteri,Myctophiformes,Myctophidae,Lampadena,Lampadena luminosa
OP035238.1,72103,NA,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes simulator
OP035237.1,242929,NA,Chordata,Actinopteri,Centrarchiformes,Kuhliidae,Kuhlia,Kuhlia sandvicensis
OP035236.1,1156122,NA,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Ophichthus,Ophichthus polyophthalmus
OP035233.1,3357991,NA,Chordata,Actinopteri,Perciformes,Anthiadidae,Nemanthias,Nemanthias bicolor
OP035232.1,466130,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Forcipiger,Forcipiger longirostris
OP035231.1,161450,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Doryrhamphus,Doryrhamphus excisus
OP035228.1,862823,NA,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Centroscyllium,Centroscyllium nigrum
OP035225.1,1003735,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax elegans
OP035223.1,1819260,NA,Chordata,Actinopteri,Ophidiiformes,Carapidae,Onuxodon,Onuxodon fowleri
OP035217.1,2589289,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Brotula,Brotula townsendi
OP035214.1,638296,NA,Chordata,Actinopteri,Kurtiformes,Apogonidae,Zapogon,Zapogon evermanni
OP035212.1,342439,NA,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus marginatus
OP035210.1,229058,NA,Chordata,Actinopteri,Tetraodontiformes,Ostraciidae,Ostracion,Ostracion cubicum
OP035209.1,1146974,NA,Chordata,Actinopteri,Anguilliformes,Chlopsidae,Kaupichthys,Kaupichthys diodontus
OP035208.1,109693,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon lineolatus
OP035202.1,242928,NA,Chordata,Actinopteri,Centrarchiformes,Kuhliidae,Kuhlia,Kuhlia xenura
OP035200.1,753649,NA,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma rostratum
OP035196.1,194857,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gnatholepis,Gnatholepis anjerensis
OP035195.1,3360228,NA,Chordata,Actinopteri,NA,Pomacentridae,Pycnochromis,Pycnochromis agilis
OP035194.1,700668,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaenopsis,Scorpaenopsis diabolus
OP035193.1,47710,NA,Chordata,Actinopteri,Holocentriformes,Holocentridae,Sargocentron,Sargocentron microstoma
OP035192.1,391202,NA,Chordata,Actinopteri,Anguilliformes,Congridae,Bathyuroconger,Bathyuroconger vicinus
OP035189.1,1240562,NA,Chordata,Actinopteri,Tetraodontiformes,Ostraciidae,Ostracion,Ostracion whitleyi
OP035186.1,7834,NA,Chordata,Chondrichthyes,Echinorhiniformes,Echinorhinidae,Echinorhinus,Echinorhinus cookei
OP035185.1,316349,NA,Chordata,Actinopteri,Kurtiformes,Apogonidae,Pristiapogon,Pristiapogon kallopterus
OP035183.1,443676,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Aphareus,Aphareus rutilans
OP035182.1,1522377,NA,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Centrophorus,Centrophorus tessellatus
OP035180.1,603997,NA,Chordata,Actinopteri,Syngnathiformes,Mullidae,Parupeneus,Parupeneus pleurostigma
OP035176.1,480297,NA,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Rhinecanthus,Rhinecanthus rectangulus
OP035174.1,274709,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Taenianotus,Taenianotus triacanthus
OP035169.1,1156088,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Bathygobius,Bathygobius cotticeps
OP035168.1,1156140,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaenodes,Scorpaenodes corallinus
OP035165.1,166758,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Priolepis,Priolepis eugenius
OP035162.1,40502,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus apodus
OP035161.1,603446,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Hemitaurichthys,Hemitaurichthys thompsoni
OP035160.1,586812,NA,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Ctenochaetus,Ctenochaetus strigosus
OP035159.1,509754,NA,Chordata,Actinopteri,Aulopiformes,Ipnopidae,Bathypterois,Bathypterois grallator
OP035158.1,146141,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon quadrimaculatus
OP035157.1,482919,NA,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Orthopristis,Orthopristis chrysoptera
OP035155.1,86207,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ptereleotris,Ptereleotris heteroptera
OP035154.1,1146991,NA,Chordata,Actinopteri,Aulopiformes,Synodontidae,Synodus,Synodus dermatogenys
OP035151.1,879476,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Cirripectes,Cirripectes quagga
OP035148.1,342441,NA,Chordata,Actinopteri,Priacanthiformes,Priacanthidae,Heteropriacanthus,Heteropriacanthus cruentatus
OP035147.1,13543,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Gempylus,Gempylus serpens
OP035146.1,2589307,NA,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hemiramphus,Hemiramphus depauperatus
OP035142.1,394690,NA,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes dallii
OP035140.1,2919613,NA,Chordata,Actinopteri,Lophiiformes,Antennariidae,Abantennarius,Abantennarius coccineus
OP035139.1,473393,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax margaritophorus
OP035138.1,876642,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Uropterygius,Uropterygius fuscoguttatus
OP035136.1,1003687,NA,Chordata,Actinopteri,Perciformes,Serranidae,Aporops,Aporops bilinearis
OP035130.1,39042,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon auriga
OP035129.1,293913,NA,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Euleptorhamphus,Euleptorhamphus viridis
OP035121.1,109686,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon citrinellus
OP035118.1,109694,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon lunula
OP035117.1,2108419,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Dendrochirus,Dendrochirus barberi
OP035115.1,367075,NA,Chordata,Actinopteri,NA,Pomacanthidae,Centropyge,Centropyge fisheri
OP035112.1,586832,NA,Chordata,Actinopteri,Holocentriformes,Holocentridae,Myripristis,Myripristis adusta
OP035110.1,150309,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Nemateleotris,Nemateleotris magnifica
OP035109.1,753638,NA,Chordata,Actinopteri,Holocentriformes,Holocentridae,Myripristis,Myripristis amaena
OP035105.1,151022,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus confluentus
OP035104.1,1147085,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Exallias,Exallias brevis
OP035101.1,473452,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax chilospilus
OP035096.1,1099869,NA,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Kyphosus,Kyphosus sectatrix
OP035095.1,109708,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon ulietensis
OP035092.1,1190633,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Parablennius,Parablennius thysanius
OP035089.1,192870,NA,Chordata,Actinopteri,NA,Pomacentridae,Abudefduf,Abudefduf sordidus
OP035088.1,545688,NA,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cypselurus,Cypselurus poecilopterus
OP035086.1,700632,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax melatremus
OP035085.1,938393,NA,Chordata,Actinopteri,Beloniformes,Exocoetidae,Hirundichthys,Hirundichthys speculiger
OP035081.1,396786,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus gibbus
OP035075.1,882772,NA,Chordata,Actinopteri,Lophiiformes,Antennariidae,Antennatus,Antennatus tuberosus
OP035067.1,1156092,NA,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Cantherhines,Cantherhines sandwichiensis
OP035065.1,753651,NA,Chordata,Actinopteri,Holocentriformes,Holocentridae,Plectrypops,Plectrypops lima
OP035064.1,151713,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Asterropteryx,Asterropteryx semipunctata
OP035061.1,529471,NA,Chordata,Actinopteri,Centrarchiformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus bimacula
OP035059.1,372794,NA,Chordata,Actinopteri,Scombriformes,Scombrolabracidae,Scombrolabrax,Scombrolabrax heterolepis
OP057097.1,492051,NA,Chordata,Actinopteri,Alepocephaliformes,Alepocephalidae,Xenodermichthys,Xenodermichthys copei
OP057092.1,558707,NA,Chordata,Chondrichthyes,Myliobatiformes,Gymnuridae,Gymnura,Gymnura altavela
OP057078.1,314234,NA,Chordata,Actinopteri,Lophiiformes,Himantolophidae,Himantolophus,Himantolophus sagamius
OP057073.1,1003736,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax nudivomer
OP057071.1,259920,NA,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon typus
OP057069.1,862898,NA,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,Isistius,Isistius brasiliensis
OP057027.1,94937,NA,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,Strongylura notata
OP057025.1,30742,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Floridichthys,Floridichthys carpio
OP057024.1,50351,NA,Chordata,Actinopteri,Spariformes,Sparidae,Lagodon,Lagodon rhomboides
OP057019.1,1182260,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Otophidium,Otophidium dormitator
OP057018.1,1182250,NA,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Bothus,Bothus maculiferus
OP057016.1,90412,NA,Chordata,Actinopteri,Labriformes,Labridae,Cryptotomus,Cryptotomus roseus
OP057015.1,1154654,NA,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Kyphosus,Kyphosus incisor
OP057014.1,303728,NA,Chordata,Actinopteri,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys bicaudalis
OP057013.1,224707,NA,Chordata,Actinopteri,Clupeiformes,Clupeidae,Brevoortia,Brevoortia patronus
OP057012.1,203314,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobiosoma,Gobiosoma bosc
OP057011.1,411572,NA,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa hepsetus
OP057010.1,700795,NA,Chordata,Actinopteri,Clupeiformes,Clupeidae,Harengula,Harengula clupeola
OP057009.1,13029,NA,Chordata,Actinopteri,NA,Sciaenidae,Cynoscion,Cynoscion nebulosus
OP057008.1,80640,NA,Chordata,Actinopteri,NA,Sciaenidae,Cynoscion,Cynoscion arenarius
OP057005.1,329022,NA,Chordata,Actinopteri,Clupeiformes,Clupeidae,Brevoortia,Brevoortia gunteri
OP057004.1,329431,NA,Chordata,Actinopteri,NA,Sciaenidae,Pogonias,Pogonias cromis
OP057003.1,161585,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus floridae
OP057001.1,700790,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ctenogobius,Ctenogobius boleosoma
OP057000.1,203311,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobiosoma,Gobiosoma robustum
OP056999.1,269057,NA,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia beryllina
OP056996.1,543940,NA,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis say
OP056994.1,482916,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides maculatus
OP056993.1,1266879,NA,Chordata,Actinopteri,NA,Sciaenidae,Menticirrhus,Menticirrhus saxatilis
OP056991.1,183654,NA,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus aquosus
OP056990.1,370634,NA,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Membras,Membras martinica
OP056989.1,245710,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides dorsalis
OP056988.1,175273,NA,Chordata,Actinopteri,NA,Sciaenidae,Cynoscion,Cynoscion regalis
OP056987.1,241299,NA,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres radiatus
OP056986.1,51789,NA,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres maculipinna
OP056985.1,1182251,NA,Chordata,Actinopteri,Blenniiformes,Dactyloscopidae,Dactyloscopus,Dactyloscopus tridigitatus
OP056983.1,1182200,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaenodes,Scorpaenodes caribbaeus
OP056981.1,879523,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Starksia,Starksia fasciata
OP056979.1,1068868,NA,Chordata,Actinopteri,Aulopiformes,Synodontidae,Synodus,Synodus binotatus
OP056978.1,217850,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax flavimarginatus
OP056977.1,2968242,NA,Chordata,Actinopteri,Lophiiformes,Ogcocephalidae,Zalieutes,Zalieutes mcgintyi
OP056976.1,391211,NA,Chordata,Actinopteri,Anguilliformes,Congridae,Uroconger,Uroconger syringinus
OP056973.1,700680,NA,Chordata,Actinopteri,Stomiiformes,Phosichthyidae,Yarrella,Yarrella blackfordi
OP056972.1,1867366,NA,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Synaphobranchus,Synaphobranchus oregoni
OP056968.1,160742,NA,Chordata,Actinopteri,Perciformes,Serranidae,Rypticus,Rypticus saponaceus
OP056967.1,94924,NA,Chordata,Actinopteri,Syngnathiformes,Dactylopteridae,Dactylopterus,Dactylopterus volitans
OP056966.1,480302,NA,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Xanthichthys,Xanthichthys ringens
OP056965.1,316389,NA,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres poeyi
OP056963.1,303944,NA,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,Mustelus norrisi
OP056962.1,212737,NA,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Centrophorus,Centrophorus granulosus
OP056961.1,587053,NA,Chordata,Actinopteri,NA,Sciaenidae,Equetus,Equetus punctatus
OP056959.1,129049,NA,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hemiramphus,Hemiramphus balao
OP056958.1,59661,NA,Chordata,Actinopteri,Labriformes,Labridae,Scarus,Scarus iseri
OP056956.1,555487,NA,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon carbonarium
OP056955.1,371672,NA,Chordata,Actinopteri,Holocentriformes,Holocentridae,Myripristis,Myripristis jacobus
OP056954.1,721936,NA,Chordata,Actinopteri,Syngnathiformes,Mullidae,Mulloidichthys,Mulloidichthys martinicus
OP056952.1,721939,NA,Chordata,Actinopteri,Aulopiformes,Synodontidae,Synodus,Synodus synodus
OP056951.1,2686473,NA,Chordata,Actinopteri,Perciformes,Serranidae,Rypticus,Rypticus bistrispinus
OP056950.1,40494,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus jocu
OP056949.1,937511,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Starksia,Starksia starcki
OP056948.1,482915,NA,Chordata,Actinopteri,Perciformes,Triglidae,Prionotus,Prionotus scitulus
OP056946.1,334415,NA,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
OP056942.1,129077,NA,Chordata,Actinopteri,Beloniformes,Belonidae,Tylosurus,Tylosurus crocodilus
OP056940.1,1236058,NA,Chordata,Actinopteri,Labriformes,Labridae,Scarus,Scarus coeruleus
OP056939.1,329023,NA,Chordata,Actinopteri,Clupeiformes,Clupeidae,Brevoortia,Brevoortia smithi
OP056938.1,722566,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Malacoctenus,Malacoctenus macropus
OP056937.1,51758,NA,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus chirurgus
OP056936.1,1183148,NA,Chordata,Actinopteri,NA,Sciaenidae,Pareques,Pareques umbrosus
OP056935.1,587067,NA,Chordata,Actinopteri,NA,Sciaenidae,Pareques,Pareques acuminatus
OP056934.1,40503,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus griseus
OP056933.1,40497,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus mahogoni
OP056932.1,490251,NA,Chordata,Actinopteri,Spariformes,Sparidae,Calamus,Calamus calamus
OP056931.1,1154659,NA,Chordata,Actinopteri,NA,Polynemidae,Polydactylus,Polydactylus virginicus
OP056930.1,237563,NA,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,Serranus tortugarum
OP056927.1,1110611,NA,Chordata,Actinopteri,Perciformes,Serranidae,Rypticus,Rypticus subbifrenatus
OP056925.1,1897801,NA,Chordata,Actinopteri,Perciformes,Triglidae,Prionotus,Prionotus tribulus
OP056922.1,1154647,NA,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys spilopterus
OP056921.1,1920301,NA,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,Serranus atrobranchus
OP056920.1,490254,NA,Chordata,Actinopteri,NA,Malacanthidae,Caulolatilus,Caulolatilus microps
OP056919.1,630675,NA,Chordata,Actinopteri,Gadiformes,Moridae,Laemonema,Laemonema barbatulum
OP056918.1,1266866,NA,Chordata,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes maculatus
OP056913.1,81640,NA,Chordata,Actinopteri,Gadiformes,Gaidropsaridae,Enchelyopus,Enchelyopus cimbrius
OP056912.1,700789,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus bairdi
OP056908.1,1070782,NA,Chordata,Actinopteri,Perciformes,Anthiadidae,Anthias,Anthias nicholsi
OP056907.1,586798,NA,Chordata,Actinopteri,NA,Pomacentridae,Chromis,Chromis insolata
OP056906.1,40504,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus buccanella
OP056905.1,700633,NA,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophiodes,Lophiodes reticulatus
OP056904.1,2968233,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster jamestyleri
OP056903.1,1206948,NA,Chordata,Actinopteri,Gerreiformes,Gerreidae,Ulaema,Ulaema lefroyi
OP056901.1,722538,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaena,Scorpaena inermis
OP056899.1,2750679,NA,Chordata,Actinopteri,NA,Pomacentridae,Chromis,Chromis scotti
OP056898.1,2024619,NA,Chordata,Actinopteri,Holocentriformes,Holocentridae,Sargocentron,Sargocentron bullisi
OP056897.1,1311488,NA,Chordata,Actinopteri,Perciformes,Anthiadidae,Pronotogrammus,Pronotogrammus martinicensis
OP056895.1,2968526,NA,Chordata,Actinopteri,Perciformes,Triglidae,Bellator,Bellator brachychir
OP056894.1,367073,NA,Chordata,Actinopteri,NA,Pomacanthidae,Centropyge,Centropyge argi
OP056891.1,161588,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus louisianae
OP056890.1,2968241,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Varicus,Varicus bucca
OP056888.1,86230,NA,Chordata,Actinopteri,Gobiiformes,Eleotridae,Dormitator,Dormitator maculatus
OP056886.1,173331,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Trachinotus,Trachinotus falcatus
OP056884.1,1412989,NA,Chordata,Actinopteri,Perciformes,Triglidae,Prionotus,Prionotus rubio
OP056883.1,253861,NA,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys macrops
OP056879.1,2968231,NA,Chordata,Actinopteri,Notacanthiformes,Halosauridae,Aldrovandia,Aldrovandia gracilis
OP056878.1,2968240,NA,Chordata,Actinopteri,Lophiiformes,Thaumatichthyidae,Thaumatichthys,Thaumatichthys binghami
OP056876.1,134995,NA,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus cubensis
OP056875.1,2968234,NA,Chordata,Chondrichthyes,Rajiformes,Gurgesiellidae,Cruriraja,Cruriraja rugosa
OP056874.1,51766,NA,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma chrysopterum
OP056873.1,2136010,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion brevirostre
OP056872.1,59663,NA,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma aurofrenatum
OP056870.1,130044,NA,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hyporhamphus,Hyporhamphus unifasciatus
OP056869.1,223141,NA,Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Chilomycterus,Chilomycterus schoepfii
OP056866.1,241699,NA,Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Chilomycterus,Chilomycterus antennatus
OP056865.1,76074,NA,Chordata,Actinopteri,Beloniformes,Exocoetidae,Hirundichthys,Hirundichthys affinis
OP056863.1,863440,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Bathygobius,Bathygobius mystacium
OP056862.1,1183376,NA,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Tomicodon,Tomicodon reitzae
OP056861.1,129059,NA,Chordata,Actinopteri,Beloniformes,Belonidae,Platybelone,Platybelone argala
OP056860.1,94911,NA,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherinomorus,Atherinomorus stipes
OP056858.1,94915,NA,Chordata,Actinopteri,Aulopiformes,Synodontidae,Synodus,Synodus intermedius
OP056857.1,1112860,NA,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Monacanthus,Monacanthus tuckeri
OP056856.1,94921,NA,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Bothus,Bothus lunatus
OP056855.1,1109169,NA,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon,Apogon pseudomaculatus
OP056854.1,935645,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Starksia,Starksia sluiteri
OP056850.1,146811,NA,Chordata,Actinopteri,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus nigricans
OP056849.1,1150424,NA,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa cayorum
OP056848.1,163632,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Bathygobius,Bathygobius curacao
OP056847.1,722430,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Bryx,Bryx dunckeri
OP056846.1,203328,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Nes,Nes longus
OP056843.1,1181893,NA,Chordata,Actinopteri,Blenniiformes,Dactyloscopidae,Gillellus,Gillellus greyae
OP056842.1,51765,NA,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma radians
OP056841.1,642437,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Stathmonotus,Stathmonotus stahli
OP056840.1,586841,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus marmoratus
OP056839.1,700792,NA,Chordata,Actinopteri,Labriformes,Labridae,Doratonotus,Doratonotus megalepis
OP056836.1,879526,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Starksia,Starksia lepicoelia
OP056833.1,37949,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon capistratus
OP056829.1,106209,NA,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,Strongylura timucu
OP056828.1,700793,NA,Chordata,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,Eucinostomus jonesii
OP056827.1,160721,NA,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus,Epinephelus itajara
OP056824.1,1633482,NA,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Xanthichthys,Xanthichthys caeruleolineatus
OP056823.1,1093162,NA,Chordata,Actinopteri,NA,Opistognathidae,Opistognathus,Opistognathus macrognathus
OP056820.1,59837,NA,Chordata,Actinopteri,NA,Sciaenidae,Leiostomus,Leiostomus xanthurus
OP056819.1,241291,NA,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres bivittatus
OP056818.1,195086,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Labrisomus,Labrisomus nuchipinnis
OP056816.1,161916,NA,Chordata,Actinopteri,NA,Pomacentridae,Stegastes,Stegastes variabilis
OP056815.1,349669,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax polygonius
OP056814.1,236586,NA,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon aurolineatum
OP056813.1,863438,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Bathygobius,Bathygobius geminatus
OP056810.1,435274,NA,Chordata,Actinopteri,Gerreiformes,Gerreidae,Gerres,Gerres cinereus
OP056807.1,253860,NA,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Etropus,Etropus crossotus
OP056806.1,152541,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Hypsoblennius,Hypsoblennius hentz
OP056805.1,7812,NA,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,Mustelus canis
OP056803.1,61865,NA,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus limbatus
OP056802.1,303945,NA,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,Rhizoprionodon terraenovae
OP056801.1,722640,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Lucania,Lucania parva
NC_082572.1,40496,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus synagris
NC_082570.1,303740,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster rostrata
NC_082569.1,1266863,NA,Chordata,Actinopteri,Caproiformes,Caproidae,Antigonia,Antigonia combatia
NC_082568.1,2996723,NA,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Stephanolepis,Stephanolepis hispida
NC_082567.1,245694,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion miniatum
NC_082566.1,1072477,NA,Chordata,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,Leucoraja garmani
NC_082564.1,40509,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Etelis,Etelis oculatus
