accession,taxid,superkingdom,phylum,class,order,family,genus,species
NC_026074.1,13489,NA,Chordata,Actinopteri,NA,Moronidae,Dicentrarchus,Dicentrarchus labrax
NC_026068.1,3151030,NA,Chordata,Aves,Passeriformes,Leiothrichidae,Pterorhinus,Pterorhinus perspicillatus
NC_026067.1,1364862,NA,Chordata,Aves,Passeriformes,Turdidae,Tarsiger,Tarsiger cyanurus
NC_026066.1,358814,NA,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus auroreus
NC_026063.1,469796,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis orientalis
NC_026052.1,242058,NA,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops mangshanensis
NC_026051.1,1147742,NA,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops,Protobothrops maolanensis
NC_026050.1,44504,NA,Chordata,NA,Testudines,Chelidae,Platemys,Platemys platycephala
NC_026049.1,367368,NA,Chordata,NA,Testudines,Pelomedusidae,Pelusios,Pelusios castaneus
NC_026047.1,904186,NA,Chordata,NA,Testudines,Chelidae,Elseya,Elseya branderhorsti
NC_026042.1,1238232,NA,Chordata,Aves,Psittaciformes,Psittacidae,Psittacara,Psittacara rubritorquis
NC_026039.1,176015,NA,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,Aratinga solstitialis
NC_026034.1,146129,NA,Chordata,Mammalia,Rodentia,Spalacidae,Myospalax,Myospalax psilurus
NC_026033.1,324339,NA,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius nigrescens
NC_026032.1,252291,NA,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,Hynobius kimurae
NC_026031.1,51906,NA,Chordata,Aves,Psittaciformes,Psittacidae,Guaruba,Guaruba guarouba
NC_026028.1,171798,NA,Chordata,NA,Testudines,Trionychidae,Chitra,Chitra indica
NC_026027.1,378291,NA,Chordata,NA,Testudines,Geoemydidae,Cyclemys,Cyclemys pulchristriata
NC_026024.1,260628,NA,Chordata,NA,Testudines,Geoemydidae,Heosemys,Heosemys depressa
NC_019578.2,38241,NA,Chordata,Mammalia,Artiodactyla,Delphinidae,Globicephala,Globicephala macrorhynchus
NC_025954.1,1579276,NA,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Mobula,Mobula eregoodootenkee
NC_025953.1,109905,NA,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chelmon,Chelmon rostratus
NC_025951.1,1577992,NA,Chordata,Actinopteri,Characiformes,Curimatidae,Curimata,Curimata mivartii
NC_025950.1,1577991,NA,Chordata,Actinopteri,Characiformes,Prochilodontidae,Ichthyoelephas,Ichthyoelephas longirostris
NC_025949.1,187017,NA,Chordata,Mammalia,Chiroptera,Vespertilionidae,Murina,Murina leucogaster
NC_025947.1,369676,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Parasinilabeo,Parasinilabeo assimilis
NC_025942.1,1072469,NA,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja castelnaui
NC_025941.1,1111468,NA,Chordata,Actinopteri,Mugiliformes,Mugilidae,Oedalechilus,Oedalechilus labiosus
NC_025940.1,315323,NA,Chordata,Actinopteri,Aulopiformes,Synodontidae,Saurida,Saurida wanieso
NC_025939.1,1577845,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu,Takifugu flavidus x Takifugu rubripes
NC_025937.1,1577494,NA,Chordata,Actinopteri,NA,Sciaenidae,Argyrosomus,Argyrosomus amoyensis
NC_025935.1,490287,NA,Chordata,Actinopteri,NA,Sillaginidae,Sillago,Sillago aeolus
NC_025934.1,8227,NA,Chordata,Actinopteri,Scombriformes,Scombridae,Euthynnus,Euthynnus affinis
NC_025932.1,158451,NA,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Macropodus,Macropodus opercularis
NC_025930.1,1577076,NA,Chordata,Actinopteri,Cypriniformes,NA,NA,Cirrhinus mrigala x Labeo rohita
NC_025929.1,383860,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias przewalskii
NC_025927.1,56789,NA,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus
NC_025926.1,56790,NA,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax pyrrhocorax
NC_025925.1,188382,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus sinensis
NC_025924.1,670346,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus eurhythmus
NC_025923.1,188376,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus stellaris
NC_025922.1,433628,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides striata
NC_025921.1,188375,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,Ardeola bacchus
NC_025920.1,887049,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta sacra
NC_025919.1,188373,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea purpurea
NC_025918.1,585464,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea intermedia
NC_025917.1,110668,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis
NC_025916.1,1481669,NA,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea modesta
NC_025915.1,1477527,NA,Chordata,Aves,Passeriformes,Passeridae,Pyrgilauda,Pyrgilauda davidiana
NC_025914.1,356909,NA,Chordata,Aves,Passeriformes,Passeridae,Onychostruthus,Onychostruthus taczanowskii
NC_025913.1,356906,NA,Chordata,Aves,Passeriformes,Passeridae,Montifringilla,Montifringilla adamsi
NC_025912.1,667180,NA,Chordata,Aves,Passeriformes,Passeridae,Pyrgilauda,Pyrgilauda blanfordi
NC_025911.1,356903,NA,Chordata,Aves,Passeriformes,Passeridae,Montifringilla,Montifringilla nivalis
